MI,ADA,LIQUOR,,BRAND NAME,PROOF,SIZE,PACK,    BASE , LICENSEE , MINIMUM , NEW/ 
,#,CODE,,,,IN ML,SIZE,    PRICE , PRICE , SHELF , CHNG 
,,,,,,,,,, PRICE ,
AMERICAN BLEND,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,221,15926,,J DANIELS MASTER DISTILLER 5,86.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,85413,,J DANIELS OLD 7 BLACK (TN),80.0,50,120, 1.78 , 1.69 , 1.99 ,
,221,9124,,J DANIELS OLD 7 BLACK (TN),80.0,100,48, 3.57 , 3.38 , 3.99 ,
,221,9127,,J DANIELS OLD 7 BLACK (TN),80.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,9121,,J DANIELS OLD 7 BLACK (TN),80.0,1000,12, 29.45 , 27.98 , 32.99 ,
,221,9128,,J DANIELS OLD 7 BLACK (TN),80.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,9122,,J DANIELS OLD 7 BLACK (TN) PL,80.0,200,48, 7.12 , 6.75 , 7.96 ,
,221,9123,,J DANIELS OLD 7 BLACK (TN) PL,80.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,9113,,J DANIELS OLD 7 BLACK (TN) SQR,80.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,72056,,J DANIELS OLD 7 BLK W/COKE,80.0,1750,3, 44.62 , 42.37 , 49.96 ,
,221,71367,,J DANIELS OLD 7 BLK W/GL,80.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,72247,,J DANIELS OLD 7 BLK W/2 GLS,80.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,73380,,J DANIELS OLD 7 BLK/TRAVEL BAG,80.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,17805,,J DANIELS OLD 7 LEGACY EDITION,86.0,750,12, 24.99 , 23.74 , 27.99 , NEW 
,221,15714,,J DANIELS RED DOG SALOON,86.0,750,12, 24.99 , 23.74 , 27.99 ,
,221,11184,,J DANIELS SINATRA SELECT,90.0,1000,6, 151.78 , 144.19 , 169.99 ,
,221,7674,,J DANIELS SINGLE BARREL,94.0,50,60, 3.12 , 2.95 , 3.48 ,
,221,15593,,J DANIELS SINGLE BARREL,94.0,375,12, 25.87 , 24.56 , 28.96 ,
,221,70652,,J DANIELS SINGLE BARREL W/GLS,94.0,750,6, 46.41 , 44.10 , 51.99 ,
,221,99086,,J DANIELS SNGL BARREL DECANTER,94.0,750,6, 46.41 , 44.10 , 51.99 ,
,221,17700,,J DANIELS SNGL BRRL HERITAGE,100.0,750,6, 58.03 , 55.12 , 64.99 , NEW 
,221,16885,,J DANIELS SNGL BRRL-BRRL PROOF,100.0,750,6, 58.03 , 55.12 , 64.99 ,
,221,16471,,J DANIELS TENNESSE RYE WHISKEY,90.0,750,12, 24.99 , 23.74 , 27.99 ,
,221,16472,,J DANIELS TENNESSE RYE WHISKEY,90.0,1000,12, 32.12 , 30.50 , 35.96 ,
,221,16473,,J DANIELS TENN RYE WHISKEY PL,90.0,50,120, 2.05 , 1.94 , 2.29 ,
,221,12456,,J DANIELS TENNESSEE FIRE,70.0,100,48, 3.57 , 3.38 , 3.99 ,
,221,11994,,J DANIELS TENNESSEE FIRE,70.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,11995,,J DANIELS TENNESSEE FIRE,70.0,1000,12, 29.45 , 27.98 , 32.99 ,
,221,11996,,J DANIELS TENNESSEE FIRE,70.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,11802,,J DANIELS TENNESSEE FIRE PL,70.0,50,60, 1.78 , 1.69 , 1.99 ,
,221,12592,,J DANIELS TENNESSEE FIRE PL,70.0,200,48, 7.12 , 6.75 , 7.96 ,
,221,11993,,J DANIELS TENNESSEE FIRE PL,70.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,73295,,J DANIELS TN FIRE/4 SHOT MOLDS,70.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,8490,,J DANIELS TENNESSEE HONEY,70.0,50,60, 1.78 , 1.69 , 1.99 ,
,221,8851,,J DANIELS TENNESSEE HONEY,70.0,100,48, 3.57 , 3.38 , 3.99 ,
,221,7639,,J DANIELS TENNESSEE HONEY,70.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,7725,,J DANIELS TENNESSEE HONEY,70.0,1000,12, 29.45 , 27.98 , 32.99 ,
,221,8892,,J DANIELS TENNESSEE HONEY,70.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,8852,,J DANIELS TENNESSEE HONEY PL,70.0,200,48, 7.12 , 6.75 , 7.96 ,
,221,7724,,J DANIELS TENNESSEE HONEY PL,70.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,72937,,J DANIELS TENNESSE HONEY W/GL,70.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,73460,,J DANIELS TENN HONEY W/FLASK,70.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,72781,,J DANIELS TENN HONEY/LEMONADE,70.0,1750,3, 44.62 , 42.37 , 49.96 ,
,221,72962,,J DANIELS TENN HONEY/50ML BLK,70.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,73066,,J DAN/GJ/JDSB/JDH/JDF PL 5PK,70.0,50,12, 9.34 , 8.86 , 10.45 ,
,221,10504,,J DANIELS WINTER JACK,30.0,750,12, 16.07 , 15.26 , 17.99 ,
,221,13647,,JACK DANIELS SINGLE BARREL RYE,94.0,750,6, 46.41 , 44.10 , 51.99 , (3.00)
